Adip1,,,Adip2,,,Adip3,,,Adip4,,
Gene name,adjusted p-value,logFC,Gene name,adjusted p-value,logFC,Gene name,adjusted p-value,logFC,Gene name,adjusted p-value,logFC
GSE1,1.17E-10,0.43,TC2N,3.29E-114,3.58,LDLRAD3,2.91E-21,1.20,CDH2,1.73E-06,3.36
TMEM132C,1.21E-10,0.36,ARHGAP6,3.99E-114,3.76,TMBIM1,1.12E-20,1.44,HSPB7,1.85E-06,1.63
TRARG1,1.55E-10,1.02,TIMP3,5.34E-114,2.09,CDKN1A,1.14E-20,2.69,ADAMTS4,2.74E-06,2.73
MAPK10,2.47E-10,0.23,VCAN,2.64E-113,3.66,GADD45A,1.06E-19,2.79,DUSP1,3.09E-06,1.08
HSDL2,9.42E-10,0.52,SASH1,1.39E-112,2.68,EMP1,2.05E-19,1.57,CDH13,3.57E-06,2.24
MME,1.03E-09,0.52,TSHZ2,1.68E-112,2.42,IFI16,2.18E-19,2.23,ACADVL,4.39E-06,1.07
AL845331.2,1.20E-09,0.61,LINC00486,7.88E-111,1.90,KCNQ3,2.23E-19,2.29,PDE3A,4.43E-06,1.55
SLC7A6,2.50E-09,0.30,LINC00513,4.54E-110,2.08,SMAD3,3.55E-19,1.58,FILIP1,5.54E-06,1.95
PPP2R5A,3.17E-09,0.67,KCNT2,1.54E-109,4.05,SORBS1,3.57E-19,0.90,FLNC,5.57E-06,4.14
SIK2,3.21E-09,0.32,SLC9A9,2.50E-108,2.20,SEPT9,4.10E-19,1.80,MB,7.57E-06,1.84
SCD,5.25E-09,0.66,TCF4,2.55E-108,1.90,EGR1,4.27E-19,2.34,NPPB,8.87E-06,2.94
MAST4,1.20E-08,0.24,DST,2.73E-108,1.85,LDHA,4.45E-19,1.65,MYH7B,1.28E-05,3.12
MAGI1,4.16E-08,0.28,SLIT2,4.76E-108,2.48,SH3RF3,7.56E-19,1.56,PAM,1.93E-05,1.20
RETSAT,9.14E-08,0.60,COL4A3,1.49E-107,3.73,PTPN2,1.66E-18,1.64,FRY,2.24E-05,1.68
ACACA,1.03E-07,0.41,IGF1R,3.82E-106,2.51,TIPARP,2.33E-18,2.39,MYL9,2.38E-05,1.71
OSBPL1A,1.06E-07,0.29,ADGRB3,1.30E-105,2.44,CTSL,4.37E-18,2.40,AKAP13,3.03E-05,0.75
ANGPTL8,1.69E-07,1.16,ADGRD1,1.08E-104,3.49,CDC27,6.81E-18,1.36,ID3,3.22E-05,2.51
FOXO1,2.47E-07,0.23,EBF2,1.90E-103,1.98,IL1R1,6.84E-18,1.90,MYL2,6.50E-05,1.71
AL139383.1,2.52E-07,0.72,DOCK4,4.56E-103,2.49,ENPP2,6.93E-18,2.45,ATP2A2,8.18E-05,1.35
EHBP1,3.72E-07,0.21,SH3PXD2B,2.72E-100,3.57,ZBTB7C,2.76E-17,1.91,CADPS,8.22E-05,3.51
LGALS12,4.08E-07,0.74,ELMO1,3.40E-100,3.57,SH3GLB1,4.37E-17,1.31,CACNB2,8.25E-05,1.86
RNF150,5.06E-07,0.64,NID1,9.14E-100,1.96,MAP3K8,4.40E-17,1.56,,,
AKR1C2,5.48E-07,1.01,OSBPL9,2.66E-98,1.86,NRP1,5.81E-17,1.42,,,
TENM4,7.81E-07,0.52,AKAP13,7.01E-96,1.57,DTX4,6.98E-17,2.72,,,
ACO1,8.55E-07,0.35,SOBP,8.19E-96,2.66,MT1E,7.18E-17,2.28,,,
AC007529.2,4.10E-06,0.49,SYNPO2,1.43E-94,2.86,CYR61,7.55E-17,2.46,,,
PTGER3,9.09E-06,0.53,COL8A1,1.01E-93,2.62,MACF1,1.03E-16,0.80,,,
TKT,1.17E-05,0.63,ELF2,5.32E-92,1.67,CEMIP2,1.88E-16,2.06,,,
ARHGAP20,1.19E-05,0.51,FBLN5,7.70E-92,3.14,LARP4,3.79E-16,1.19,,,
CEBPA,1.42E-05,1.28,MEG8,4.00E-91,4.35,C1QTNF1,7.27E-16,1.68,,,
PLA2G16,2.70E-05,0.39,C7,7.93E-90,1.81,POR,1.31E-15,1.28,,,
MEST,3.02E-05,0.62,MIR99AHG,1.10E-89,1.40,GATA6,1.78E-15,1.68,,,
CTIF,3.11E-05,0.27,SLC2A13,1.16E-89,2.27,NWD2,2.14E-15,1.48,,,
PDZRN3,3.45E-05,0.31,AC087286.2,7.98E-87,2.43,B4GALT5,3.88E-15,1.43,,,
THRB,3.58E-05,0.28,SH3D19,8.53E-87,1.54,IFNGR2,9.98E-15,1.27,,,
PECR,4.81E-05,0.52,FILIP1,7.07E-86,2.37,USP32,1.05E-14,1.37,,,
ITGA7,6.42E-05,0.31,CATSPERB,4.21E-84,3.52,NT5C2,1.07E-14,1.24,,,
RTN4,7.50E-05,0.20,CRISPLD2,5.01E-84,3.03,HNRNPA2B1,1.09E-14,0.98,,,
SLC16A7,9.83E-05,0.20,UGGT2,2.36E-83,1.56,SAMD4A,1.20E-14,1.50,,,
,,,PDGFD,2.48E-83,2.32,TGFBR2,1.23E-14,1.27,,,
