"pair"	"clusters"	"pvalue"	"mean"
"TNFSF10_RIPK1"	"CMC-like13|CMC-like13"	1	-2.92139016530363
"TNF_PTPRS"	"CMC-like13|CMC-like13"	1	0
"PTN_PTPRS"	"CMC-like13|CMC-like13"	1	-3.10780328953451
"TNF_CELSR2"	"CMC-like13|CMC-like13"	1	0
"CCK_CCKAR"	"CMC-like13|CMC-like13"	1	0
"CXCR3_CCL19"	"CMC-like13|CMC-like13"	1	0
"CCRL2_CCL19"	"CMC-like13|CMC-like13"	1	0
"CCR7_CCL19"	"CMC-like13|CMC-like13"	1	0
"CXCR3_CCL20"	"CMC-like13|CMC-like13"	1	0
"CCR6_CCL20"	"CMC-like13|CMC-like13"	1	-8.96578428466209
"DPP4_CCL11"	"CMC-like13|CMC-like13"	1	-4.50635266602479
"ACKR2_CCL11"	"CMC-like13|CMC-like13"	1	0
"CCR2_CCL11"	"CMC-like13|CMC-like13"	1	0
"DPP4_CXCL12"	"CMC-like13|CMC-like13"	1	-3.39592867633114
"ACKR3_CXCL12"	"CMC-like13|CMC-like13"	1	-3.68038206579984
"TNFRSF13B_TNFSF13"	"CMC-like13|CMC-like13"	1	0
"TNFRSF13B_CD70"	"CMC-like13|CMC-like13"	1	-7.96578428466209
"CD27_CD70"	"CMC-like13|CMC-like13"	1	-7.64385618977472
"CD40_CD40LG"	"CMC-like13|CMC-like13"	1	0
"CD40_INSL3"	"CMC-like13|CMC-like13"	1	0
"HLA-DRB1_OGN"	"CMC-like13|CMC-like13"	1	-5.15842936260448
"NGFR_BDNF"	"CMC-like13|CMC-like13"	1	-3.98850436116217
"NCAM1_BDNF"	"CMC-like13|CMC-like13"	1	-0.302226180444814
"NCAM1_GDNF"	"CMC-like13|CMC-like13"	1	0
"NOTCH2_IL24"	"CMC-like13|CMC-like13"	1	0
"NOTCH2_DLL4"	"CMC-like13|CMC-like13"	1	-4.35107444054688
"NOTCH1_DLL4"	"CMC-like13|CMC-like13"	1	-4.79585928321977
"NOTCH4_DLL4"	"CMC-like13|CMC-like13"	1	-6.79585928321977
"NOTCH2_DLL3"	"CMC-like13|CMC-like13"	1	0
"NOTCH1_DLL3"	"CMC-like13|CMC-like13"	1	0
"NOTCH4_DLL3"	"CMC-like13|CMC-like13"	1	0
"NOTCH2_JAG2"	"CMC-like13|CMC-like13"	1	-4.41119543298445
"NOTCH1_JAG2"	"CMC-like13|CMC-like13"	1	-4.87832144341175
"NOTCH4_JAG2"	"CMC-like13|CMC-like13"	1	-7.15842936260448
"NOTCH3_JAG2"	"CMC-like13|CMC-like13"	1	-1.92686529536978
"NOTCH1_WNT4"	"CMC-like13|CMC-like13"	1	0
"FZD6_WNT4"	"CMC-like13|CMC-like13"	1	0
"NOTCH1_JAG1"	"CMC-like13|CMC-like13"	1	-2.38835545662634
"CD46_JAG1"	"CMC-like13|CMC-like13"	0.779	-1.5649048483799
"NOTCH1_NOV"	"CMC-like13|CMC-like13"	1	0
"NOTCH1_DLK1"	"CMC-like13|CMC-like13"	1	-4.87832144341175
"FZD9_WNT7A"	"CMC-like13|CMC-like13"	1	0
"FZD9_WNT2"	"CMC-like13|CMC-like13"	1	0
"CCL24_CCR2"	"CMC-like13|CMC-like13"	1	0
"CCL16_CCR2"	"CMC-like13|CMC-like13"	1	0
"CCL2_CCR2"	"CMC-like13|CMC-like13"	1	0
"CCL24_CCR3"	"CMC-like13|CMC-like13"	1	0
"CCL3_CCR3"	"CMC-like13|CMC-like13"	1	0
"CCL5_CCR3"	"CMC-like13|CMC-like13"	1	0
"CCL3L1_CCR3"	"CMC-like13|CMC-like13"	1	0
"CCL11_CCR3"	"CMC-like13|CMC-like13"	1	0
"CCL16_CCR1"	"CMC-like13|CMC-like13"	1	0
"CCL3_CCR1"	"CMC-like13|CMC-like13"	1	0
"CCL5_CCR1"	"CMC-like13|CMC-like13"	1	0
"CCL3L1_CCR1"	"CMC-like13|CMC-like13"	1	0
"CCL16_HRH4"	"CMC-like13|CMC-like13"	1	0
"CCL2_ACKR1"	"CMC-like13|CMC-like13"	1	-4.32192809488736
"CCL5_ACKR1"	"CMC-like13|CMC-like13"	1	0
"PF4_ACKR1"	"CMC-like13|CMC-like13"	1	0
"CXCL1_ACKR1"	"CMC-like13|CMC-like13"	1	-7.38082178394093
"CXCL8_ACKR1"	"CMC-like13|CMC-like13"	1	0
"CXCL5_ACKR1"	"CMC-like13|CMC-like13"	1	0
"CCL8_ACKR1"	"CMC-like13|CMC-like13"	1	0
"CCL7_ACKR1"	"CMC-like13|CMC-like13"	1	0
"CCL2_CCR10"	"CMC-like13|CMC-like13"	1	-4.08314123530025
"CCL5_ACKR4"	"CMC-like13|CMC-like13"	1	0
"CCL11_ACKR4"	"CMC-like13|CMC-like13"	1	-5.32192809488736
"CCL21_ACKR4"	"CMC-like13|CMC-like13"	1	-3.87832144341175
"CCL25_ACKR4"	"CMC-like13|CMC-like13"	1	0
"CXCL13_ACKR4"	"CMC-like13|CMC-like13"	1	-5.21089678249862
"CCL19_ACKR4"	"CMC-like13|CMC-like13"	1	0
"CCL5_CCR4"	"CMC-like13|CMC-like13"	1	0
"CCL22_CCR4"	"CMC-like13|CMC-like13"	1	0
"CCL3L1_DPP4"	"CMC-like13|CMC-like13"	1	0
"CCL22_DPP4"	"CMC-like13|CMC-like13"	1	0
"CXCL11_DPP4"	"CMC-like13|CMC-like13"	1	0
"VIP_DPP4"	"CMC-like13|CMC-like13"	1	0
"CXCL10_DPP4"	"CMC-like13|CMC-like13"	1	0
"GIP_DPP4"	"CMC-like13|CMC-like13"	1	0
"PYY_DPP4"	"CMC-like13|CMC-like13"	1	-4.50635266602479
"NPPB_DPP4"	"CMC-like13|CMC-like13"	1	-2.47393118833241
"ADCYAP1_DPP4"	"CMC-like13|CMC-like13"	1	0
"CXCL2_DPP4"	"CMC-like13|CMC-like13"	1	-4.18442457113743
"PF4_CXCR3"	"CMC-like13|CMC-like13"	1	0
"CXCL11_CXCR3"	"CMC-like13|CMC-like13"	1	0
"CXCL10_CXCR3"	"CMC-like13|CMC-like13"	1	0
"CXCL12_CXCR3"	"CMC-like13|CMC-like13"	1	0
"CXCL1_CXCR1"	"CMC-like13|CMC-like13"	1	0
"CXCL8_CXCR1"	"CMC-like13|CMC-like13"	1	0
"CXCL2_CXCR1"	"CMC-like13|CMC-like13"	1	0
"PPBP_CXCR1"	"CMC-like13|CMC-like13"	1	0
"CXCL3_CXCR1"	"CMC-like13|CMC-like13"	1	0
"CXCL1_CXCR2"	"CMC-like13|CMC-like13"	1	0
"CXCL8_CXCR2"	"CMC-like13|CMC-like13"	1	0
"CXCL2_CXCR2"	"CMC-like13|CMC-like13"	1	0
"PPBP_CXCR2"	"CMC-like13|CMC-like13"	1	0
"CXCL3_CXCR2"	"CMC-like13|CMC-like13"	1	0
"IAPP_CALCR"	"CMC-like13|CMC-like13"	1	0
"CALCA_CALCR"	"CMC-like13|CMC-like13"	1	0
"CALCA_CALCR"	"CMC-like13|CMC-like13"	1	0
"CALCB_CALCR"	"CMC-like13|CMC-like13"	1	0
"CCL21_CCR7"	"CMC-like13|CMC-like13"	1	0
"CCL25_CCR9"	"CMC-like13|CMC-like13"	1	0
"CXCL13_CXCR5"	"CMC-like13|CMC-like13"	1	-6.79585928321977
"CXCL11_ACKR3"	"CMC-like13|CMC-like13"	1	0
"VIP_AVPR1A"	"CMC-like13|CMC-like13"	1	0
"AVP_AVPR1A"	"CMC-like13|CMC-like13"	1	-6.05889368905357
"VIP_VIPR1"	"CMC-like13|CMC-like13"	1	0
"ADCYAP1_VIPR1"	"CMC-like13|CMC-like13"	1	0
"GHRH_VIPR1"	"CMC-like13|CMC-like13"	1	0
"SCT_VIPR1"	"CMC-like13|CMC-like13"	1	0
"VIP_VIPR2"	"CMC-like13|CMC-like13"	1	0
"ADCYAP1_VIPR2"	"CMC-like13|CMC-like13"	1	0
"PYY_NPY5R"	"CMC-like13|CMC-like13"	1	-7.96578428466209
"PYY_NPY1R"	"CMC-like13|CMC-like13"	1	-5.79585928321977
"NPPB_NPR3"	"CMC-like13|CMC-like13"	1	-2.47393118833241
"NPPA_NPR3"	"CMC-like13|CMC-like13"	1	-1.68965987938785
"NPPB_NPR2"	"CMC-like13|CMC-like13"	1	-2.77595972578207
"NPPA_NPR2"	"CMC-like13|CMC-like13"	1	-1.85725982788392
