,FB1_na,FB1_pv,FB1_lo,FB2_na,FB2_pv,FB2_lo,FB3_na,FB3_pv,FB3_lo,FB4_na,FB4_pv,FB4_lo,FB5_na,FB5_pv,FB5_lo,FB6_na,FB6_pv,FB6_lo,FB7_na,FB7_pv,FB7_lo
55,EBF1,1.2286030130562253e-39,0.24037647,CNTN4,1.6823595199337427e-88,1.7105644,CHD1,2.261527723214009e-112,1.3118651,COL12A1,7.298713930753697e-73,1.0325414,TAGLN2,9.999800183335345e-37,1.4831722,KCNAB1,4.794938794701555e-65,2.6659071,LARGE1,9.063506065790782e-128,2.50704
56,RHOJ,2.3045075672693648e-39,0.7217206,CELF2,6.416350051747775e-88,0.49528092,FOSL2,1.1525207555296438e-111,1.8179852,MGP,9.100116685916211e-72,0.7554061,ITGA11,8.375441865591047e-36,1.3648099,PDE7B,4.794938794701555e-65,1.6130457,TENM2,1.6571696801568152e-125,3.990273
57,SSH2,7.552256968738997e-39,0.38200277,CGNL1,3.3132066102357424e-86,1.2110258,PGAP1,4.2147210713172666e-110,1.7628809,MYH13,7.181320670725743e-71,1.5723331,IFITM3,2.153730911861766e-35,1.0615402,ARHGAP29,7.177750793476257e-65,1.3101348,MYO18B,4.1194407372522673e-125,4.4172173
58,FOXP2,4.912628362864328e-37,0.36952356,TIAM1,6.775145723150259e-83,1.07373,MTHFD1L,2.4438873814671537e-109,1.4327891,MAP4,1.4085811499920057e-68,0.72265095,MFAP4,5.76955055966972e-35,1.8548893,DLEU2,1.412572625130842e-63,1.5540034,LRRTM3,4.5123521372114394e-125,4.835298
59,TGFBR3,2.974196881880545e-36,0.35654002,NPPB,7.920041492954041e-83,2.1879766,STEAP4,4.619098496875598e-108,1.3533198,VMP1,1.2931181429449538e-67,0.8285162,MT-CO1,4.70050032186043e-34,0.7878025,ACSM1,1.922403536557621e-63,1.555316,ESRRG,1.0445115563030467e-124,3.9765913
60,SSBP2,2.0502662014693877e-33,0.3074061,PLPP1,1.447852174402717e-82,0.8130914,VCAN,4.851149515567174e-108,0.91298777,CREB3L2,1.8051255890221715e-67,0.9725302,FTH1,5.9050906488460955e-34,0.9673993,RBPMS,1.2275618689474985e-62,1.2327876,TACC2,1.9314848040476173e-124,3.2077966
61,TPCN1,6.273721988200497e-33,0.72543174,TMEM135,1.982726673691834e-82,0.7832833,C1QTNF1,1.3247495639876941e-105,1.6547356,LHFPL2,6.318918602491774e-67,1.3094667,SH3BGRL3,2.255748605668141e-33,1.7785181,RB1,4.398481622439782e-62,1.1982632,ACTC1,3.033764789497781e-122,2.2495375
62,MAML2,3.541184075062564e-31,0.21479517,UST,6.613792225024589e-81,0.7383822,MCL1,5.237324696101215e-105,1.7504374,SLC20A1,1.998510258341352e-66,1.7643298,DST,2.4740225975438107e-32,0.6649954,ABCC9,4.496510097042325e-62,2.0289667,MYOZ2,2.912991880217432e-121,3.6192694
63,THUMPD1,6.470159218082035e-31,0.8349273,IMMP2L,3.1255638371923522e-80,0.5639839,IL1R1,1.828495078305264e-104,1.6722765,IGF1,3.232091733337932e-65,1.1047736,SDC2,1.0183054981594724e-31,0.9894514,MKL2,5.339338213551024e-62,1.7189368,MYL3,1.9690855221829936e-119,3.1184998
64,SPRY1,6.7349124155778716e-31,0.4665088,TRHDE,2.7837162008297466e-79,1.6479962,MEDAG,1.1299031243046935e-103,2.2127805,PTPRE,6.0594387116116925e-64,2.5110981,EIF1,2.511573022167632e-31,0.8982939,LRMDA,2.5820465382059486e-61,1.589777,ERBB4,2.1361864280495223e-119,3.3865316
65,NOVA1,5.257406729441743e-30,0.35724437,SLC26A3,1.0879292465441082e-78,0.825255,PTPRG,3.842569977147788e-102,0.5977488,LUM,3.999421117230217e-63,0.9916965,SDK1,5.621174185950792e-31,1.3292859,RAD51B,3.131284892882133e-61,1.5392013,CRYAB,2.3575444373289666e-116,2.3585312
