stage,factors,n_factors,youth_restoration_pct_excl,youth_restoration_pct_incl,empirical_clock_rev_yr_excl,empirical_clock_rev_yr_incl,senmayo_shift_excl,senmayo_shift_incl,GJA1_shift,SCN5A_shift,KCNJ2_shift,KCNH2_shift,KCNQ1_shift,CACNA1C_shift,ATP2A2_shift,RYR2_shift,latent_mahalanobis_dist,provenance,stage_rank
Stage3_Quads,CTCF+REL+JUND+NFIC,4,3.7876,3.8002,0.3368,0.3298,0.00016,0.00016,0.00048,0.0551,-0.00132,0.00509,0.00164,0.08308,0.01364,0.00115,0.1379,COMPUTED_HCA_5307_vCM_RIDGE_GRN,151.0
Stage3_Quads,MITF+CREB1+YY1+SP3,4,3.7631,3.8827,-0.1066,-0.1,0.0058,0.0058,0.00175,0.03213,-0.00574,0.00133,0.00165,0.05247,0.03383,0.00319,0.1942,COMPUTED_HCA_5307_vCM_RIDGE_GRN,152.0
Stage3_Quads,CTCF+CREB1+JUND+NFIC,4,3.7586,3.8,0.2336,0.2246,0.00277,0.00277,-0.00067,0.0628,-0.00094,0.00214,0.00242,0.07165,0.0213,0.00327,0.1437,COMPUTED_HCA_5307_vCM_RIDGE_GRN,153.0
Stage3_Quads,NFKB1+YY1+SP3+NFIC,4,3.7498,3.7763,0.27,0.2573,-0.00221,-0.00221,-0.0013,0.03633,-0.00549,0.01138,0.00634,0.07806,0.01072,0.00539,0.1518,COMPUTED_HCA_5307_vCM_RIDGE_GRN,154.0
Stage3_Quads,NFKB1+JUND+SP3+NFIC,4,3.7484,3.7755,0.2321,0.2294,-0.00037,-0.00037,0.00096,0.01625,-0.00557,0.01099,0.00488,0.04556,0.00795,0.00427,0.1386,COMPUTED_HCA_5307_vCM_RIDGE_GRN,155.0
Stage3_Quads,MITF+CREB1+SP3+NFIC,4,3.7477,3.8614,-0.1047,-0.1001,0.00405,0.00405,0.0049,0.02436,-0.00553,0.00276,0.00555,0.01144,0.02662,0.00596,0.1906,COMPUTED_HCA_5307_vCM_RIDGE_GRN,156.0
Stage3_Quads,CTCF+HIF1A+YY1+JUND,4,3.7357,3.8236,0.3147,0.3343,0.00283,0.00283,0.00028,0.06111,-0.00115,0.00044,0.00225,0.13275,0.01498,0.0017,0.1334,COMPUTED_HCA_5307_vCM_RIDGE_GRN,157.0
Stage3_Quads,HIF1A+REL+YY1+JUND,4,3.7228,3.8083,0.2769,0.2976,0.0024,0.0024,-0.00242,0.01524,-0.00146,0.0044,0.00219,0.09595,0.01717,0.00169,0.1315,COMPUTED_HCA_5307_vCM_RIDGE_GRN,158.0
Stage3_Quads,HIF1A+REL+YY1+NFIC,4,3.7126,3.7916,0.3253,0.3339,-0.00131,-0.00131,-0.00118,0.02973,-0.0002,0.00688,0.00744,0.09467,0.01497,0.0055,0.1518,COMPUTED_HCA_5307_vCM_RIDGE_GRN,159.0
Stage3_Quads,CTCF+REL+JUND+SP3,4,3.7109,3.7387,0.3147,0.3171,0.00112,0.00112,-0.00121,0.0524,-0.00584,0.00422,-0.00036,0.08718,0.01075,9e-05,0.1349,COMPUTED_HCA_5307_vCM_RIDGE_GRN,160.0
