source,target,coef
SLC35E2B,ARID1B,0.14357742795137304
SLC35E2B,LINC00486,0.14783179974829846
SLC35E2B,FTX,0.15439792672976854
CDK11A,FKBP5,0.11926792903237146
CDK11A,SRRM2,0.12457021008440677
CDK11A,SON,0.12472339501670013
CDK11A,DDX5,0.12821071018183472
CDK11A,RBM39,0.12823222864487085
SLC35E2A,FTX,0.13998052502642774
SLC35E2A,PRKG1,0.140493958647128
SLC35E2A,NFIA,0.14381830092646788
SLC35E2A,LAMA2,0.1493691971439752
SLC35E2A,ZBTB20,0.15206535846732455
NADK,SRRM2,0.1338598191727539
NADK,ACACB,0.137121562533581
NADK,FP236383.1,0.13809967701389841
NADK,FKBP5,0.14285838741406917
NADK,DDX5,0.14936928053987047
GNB1,TCF4,0.3127346654246654
GNB1,HNRNPA2B1,0.31397675056868973
GNB1,STOM,0.32518343708811104
GNB1,GNAI2,0.3286315290489727
GNB1,EPAS1,0.3349542455131748
AL109917.1,LINC02383,0.13452297327159168
AL109917.1,FAM180B,0.1669063615183055
AL109917.1,AC009271.1,0.16752300116951735
AL109917.1,TCEAL3-AS1,0.1738512792493516
AL109917.1,PRG4,0.24277938620327
CALML6,AL162724.2,0.24588128150483682
CALML6,HAPLN1,0.2571991364736091
CALML6,IRF4,0.2585284004665989
CALML6,IGHA2,0.31846414938374723
CALML6,FAM30A,0.32006040207061665
TMEM52,GNG3,0.09323934479815348
TMEM52,AP000357.2,0.09323934479815364
TMEM52,ASCL4,0.09323934479815404
TMEM52,GAP43,0.0993730221340059
TMEM52,AL445470.1,0.11400199669904072
CFAP74,IL24,0.08705853820638762
CFAP74,AC013391.1,0.10189665960624518
CFAP74,CD300LD,0.1018966596062452
CFAP74,SERPINB12,0.11792731398984783
CFAP74,AC005845.1,0.11792731398984806
GABRD,MATN3,0.11215660990828774
GABRD,CYCS,0.11734222561688637
GABRD,MT1X,0.11823745998270116
GABRD,NT5DC2,0.1275961849295095
GABRD,MT1A,0.14710754649061983
PRKCZ,LDB3,0.1594801450106468
PRKCZ,TTN,0.16950444150404126
PRKCZ,MYBPC3,0.16994549498477488
PRKCZ,NEBL,0.17079908291385415
PRKCZ,PDE4DIP,0.1754367314012941
AL590822.2,AC002064.2,0.07954901676958873
AL590822.2,AL359555.4,0.08714288917336535
AL590822.2,OOEP-AS1,0.09157846999619883
AL590822.2,SHISA2,0.09174054925569529
AL590822.2,ZFP41,0.10948176039795432
PRKCZ-AS1,AC011139.1,0.10870232200109121
PRKCZ-AS1,RASL10B,0.10882398432197138
PRKCZ-AS1,RRAD,0.12411194706944176
PRKCZ-AS1,LINC02045,0.14850061644077367
PRKCZ-AS1,AC087477.3,0.16642908178665386
FAAP20,RPS8,0.359410505142661
FAAP20,RPL35,0.3607679228988364
