source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	sources	references	dorothea_level	curation_effort
P23771	Q9H3S3	GATA3	TMPRSS5	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;HTRIdb_DoRothEA	CollecTRI:19559773;HTRIdb:19559773;DoRothEA:19559773;CollecTRI2:19559773	D	4
P23771	Q8TDF5	GATA3	NETO1	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;DoRothEA-A_CollecTRI2;PAZAR_DoRothEA;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;DoRothEA-A_CollecTRI;HTRIdb_DoRothEA	CollecTRI:19559773;HTRIdb:19559773;DoRothEA:19559773;CollecTRI2:19559773	A	4
P23771	Q9H2I8	GATA3	LRMDA	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;HTRIdb_DoRothEA	CollecTRI:19559773;CollecTRI2:19559773	D	2
P23771	Q8WWV3	GATA3	RTN4IP1	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;HTRIdb_DoRothEA	CollecTRI:19559773;HTRIdb:19559773;DoRothEA:19559773;CollecTRI2:19559773	D	4
P23771	Q8TDL5	GATA3	BPIFB1	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;DoRothEA-A_CollecTRI2;PAZAR_DoRothEA;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;DoRothEA-A_CollecTRI;HTRIdb_DoRothEA	CollecTRI:19559773;HTRIdb:19559773;DoRothEA:19559773;CollecTRI2:19559773	A	4
P01106	P14678	MYC	SNRPB	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;TFactS_DoRothEA;DoRothEA-A_CollecTRI2;TfactS_CollecTRI2;HTRI_CollecTRI;TFactS_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;TRED_DoRothEA;ExTRI2_CollecTRI2;DoRothEA-A_CollecTRI;HTRIdb_DoRothEA;RegNetwork_DoRothEA	DoRothEA:12747840;CollecTRI2:31930637;CollecTRI2:12747840;HTRIdb:12747840;CollecTRI:12747840	A	5
P23771	Q6JVE9	GATA3	LCN8	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;HTRIdb_DoRothEA	CollecTRI:19559773;HTRIdb:19559773;DoRothEA:19559773;CollecTRI2:19559773	D	4
P23771	Q5GH77	GATA3	XKR3	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;JASPAR_DoRothEA;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;HTRIdb_DoRothEA	CollecTRI:19559773;HTRIdb:19559773;DoRothEA:19559773;CollecTRI2:19559773	C	4
P23771	Q8N8A8	GATA3	FAM169BP	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;HTRIdb_DoRothEA	CollecTRI:19559773;HTRIdb:19559773;DoRothEA:19559773;CollecTRI2:19559773	D	4
P23771	P61647	GATA3	ST8SIA6	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;DoRothEA-A_CollecTRI2;PAZAR_DoRothEA;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;DoRothEA-A_CollecTRI;HTRIdb_DoRothEA	CollecTRI:19559773;HTRIdb:19559773;DoRothEA:19559773;CollecTRI2:19559773	A	4
Q92908	P02647	GATA6	APOA1	True	True	False	True	True	False	TRRUST_CollecTRI;DoRothEA;CollecTRI;HTRIdb;TRRUST;DoRothEA-A_CollecTRI2;TRRUST_DoRothEA;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;TRRUST_CollecTRI2;DoRothEA-A_CollecTRI;HTRIdb_DoRothEA	CollecTRI2:14659877;TRRUST:14659877;HTRIdb:14659877;DoRothEA:14659877;CollecTRI:14659877	A	5
Q99684	P01106	GFI1	MYC	True	True	True	True	False	True	DoRothEA;CollecTRI;HTRIdb;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;ExTRI2_CollecTRI2;HTRIdb_DoRothEA	CollecTRI:19522008;CollecTRI2:19522008;CollecTRI2:26951200;DoRothEA:19522008;CollecTRI2:36976323;HTRIdb:19522008;CollecTRI2:33051558	D	7
P10071	O00220	GLI3	TNFRSF10A	True	False	True	True	False	True	Pavlidis_CollecTRI2;DoRothEA;CollecTRI;HTRIdb;HTRI_CollecTRI;HTRIdb_CollecTRI2;Pavlidis2021_CollecTRI;CollecTRI2;ExTRI2_CollecTRI2;HTRIdb_DoRothEA	CollecTRI:20562908;DoRothEA:20562908;CollecTRI2:20562908;HTRIdb:20562908	D	4
P04150	P05026	NR3C1	ATP1B1	True	False	True	True	False	True	TRRUST_CollecTRI;DoRothEA;CollecTRI;HTRIdb;GEREDB_CollecTRI;SIGNOR_CollecTRI;GEREDB_CollecTRI2;DoRothEA-A_CollecTRI2;TRRUST;SIGNOR_CollecTRI2;TRRUST_DoRothEA;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;TRRUST_CollecTRI2;SIGNOR;DoRothEA-A_CollecTRI;HTRIdb_DoRothEA	CollecTRI:9694812;DoRothEA:9694812;TRRUST:11216640;CollecTRI2:11216640;HTRIdb:9694812;CollecTRI2:9694812;CollecTRI2:10329476;SIGNOR:9694812;CollecTRI:10329476;TRRUST:9694812;CollecTRI:11216640	A	11
P01106	P48643	MYC	CCT5	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;ENCODE-proximal;TFactS_DoRothEA;DoRothEA-A_CollecTRI2;TfactS_CollecTRI2;HOCOMOCO_DoRothEA;HTRI_CollecTRI;HTRIdb_CollecTRI2;TFactS_CollecTRI;CollecTRI2;TRED_DoRothEA;DoRothEA-A_CollecTRI;HTRIdb_DoRothEA;RegNetwork_DoRothEA	CollecTRI:12747840;HTRIdb:12747840;DoRothEA:12747840;CollecTRI2:12747840	A	4
P04150	O43915	NR3C1	VEGFD	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;HTRIdb_DoRothEA	CollecTRI2:18199540;HTRIdb:18199540;CollecTRI:18199540	D	3
P04150	P12544	NR3C1	GZMA	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;ExTRI2_CollecTRI2;HTRIdb_DoRothEA	CollecTRI2:17682054;CollecTRI2:17180578;HTRIdb:17180578;CollecTRI:17180578;DoRothEA:17180578	D	5
P04150	P04808	NR3C1	RLN1	True	True	False	True	True	False	TRRUST_CollecTRI;DoRothEA;CollecTRI;HTRIdb;TRRUST;DoRothEA-A_CollecTRI2;TRRUST_DoRothEA;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;TRRUST_CollecTRI2;DoRothEA-A_CollecTRI;HTRIdb_DoRothEA	CollecTRI:15149733;HTRIdb:15149733;DoRothEA:15149733;TRRUST:15149733;CollecTRI2:15149733	A	5
Q9NRY4	P04150	ARHGAP35	NR3C1	True	True	True	True	False	True	CollecTRI;HTRIdb;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;ExTRI2_CollecTRI2	HTRIdb:2026589;CollecTRI2:2026589;CollecTRI:2026589;CollecTRI2:28668716		4
P01106	P50219	MYC	MNX1	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;JASPAR_DoRothEA;DoRothEA-A_CollecTRI2;TfactS_CollecTRI2;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;TRED_DoRothEA;ExTRI2_CollecTRI2;DoRothEA-A_CollecTRI;HTRIdb_DoRothEA;RegNetwork_DoRothEA	CollecTRI2:36214649;CollecTRI2:36476366;DoRothEA:12695333;HTRIdb:12695333;CollecTRI2:12695333;CollecTRI:12695333;CollecTRI2:33782099;CollecTRI2:33093444	A	8
P55317	P49715	FOXA1	CEBPA	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;DoRothEA-A_CollecTRI2;PAZAR_DoRothEA;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;DoRothEA-A_CollecTRI;HTRIdb_DoRothEA	CollecTRI:19074951;DoRothEA:19074951;HTRIdb:19074951;CollecTRI2:19074951	A	4
P55317	P40305	FOXA1	IFI27	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;DoRothEA-A_CollecTRI2;PAZAR_DoRothEA;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;DoRothEA-A_CollecTRI;HTRIdb_DoRothEA	CollecTRI2:16331276;DoRothEA:16331276;HTRIdb:16331276;CollecTRI:16331276	A	4
P41235	P49715	HNF4A	CEBPA	True	True	True	True	False	True	DoRothEA;CollecTRI;HTRIdb;DoRothEA-A_CollecTRI2;PAZAR_DoRothEA;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;ExTRI2_CollecTRI2;DoRothEA-A_CollecTRI;HTRIdb_DoRothEA	HTRIdb:19074951;DoRothEA:19074951;CollecTRI2:19074951;CollecTRI:19074951;CollecTRI2:24069029;CollecTRI2:23769673;CollecTRI2:35687583;CollecTRI2:32365562	A	8
P49715	P41235	CEBPA	HNF4A	True	True	False	False	False	False	DoRothEA;CollecTRI;DoRothEA-A_CollecTRI2;PAZAR_DoRothEA;TfactS_CollecTRI2;TFactS_CollecTRI;CollecTRI2;TRED_DoRothEA;ExTRI2_CollecTRI2;RegNetwork_DoRothEA	CollecTRI2:37820926;CollecTRI2:12083813;CollecTRI:11522818;CollecTRI2:11522818	A	4
P41235	P17516	HNF4A	AKR1C4	True	True	False	True	True	False	TRRUST_CollecTRI;TRRUST;DoRothEA-A_CollecTRI2;HOCOMOCO_DoRothEA;HTRI_CollecTRI;TFactS_CollecTRI;DoRothEA;CollecTRI;PAZAR_DoRothEA;CollecTRI2;ORegAnno;ExTRI2_CollecTRI2;SIGNOR_CollecTRI2;SIGNOR_CollecTRI;HTRIdb_DoRothEA;TFactS_DoRothEA;TfactS_CollecTRI2;ORegAnno_DoRothEA;HTRIdb_CollecTRI2;DoRothEA-A_CollecTRI;HTRIdb;GEREDB_CollecTRI;GEREDB_CollecTRI2;TRRUST_DoRothEA;TRRUST_CollecTRI2;PAZAR	CollecTRI2:12544512;CollecTRI:12220531;PAZAR:11284743;CollecTRI2:11284743;HTRIdb:11284743;TRRUST:11284743;ORegAnno:12220531;CollecTRI:11284743;CollecTRI2:12220531;CollecTRI2:2044952;CollecTRI:2044952;HTRIdb:12220531	A	12
P31271	P42771	HOXA13	CDKN2A	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;HTRIdb_DoRothEA	CollecTRI2:19340300;HTRIdb:19340300;DoRothEA:19340300;CollecTRI:19340300	D	4
P31271	Q8N726	HOXA13	CDKN2A	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;HTRIdb_DoRothEA	CollecTRI2:19340300;HTRIdb:19340300;DoRothEA:19340300;CollecTRI:19340300	D	4
P13378	P42771	HOXD8	CDKN2A	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;HTRIdb_DoRothEA	CollecTRI2:19340300;HTRIdb:19340300;DoRothEA:19340300;CollecTRI:19340300	D	4
P13378	Q8N726	HOXD8	CDKN2A	True	True	False	True	True	False	DoRothEA;CollecTRI;HTRIdb;HTRI_CollecTRI;HTRIdb_CollecTRI2;CollecTRI2;HTRIdb_DoRothEA	CollecTRI2:19340300;HTRIdb:19340300;DoRothEA:19340300;CollecTRI:19340300	D	4
P08151	Q14469	GLI1	HES1	True	True	False	True	True	False	CollecTRI;TfactS_CollecTRI2;TFactS_CollecTRI;CollecTRI2;ExTRI2_CollecTRI2	CollecTRI2:34928956;CollecTRI2:19095649;CollecTRI2:17873912;CollecTRI:19095649;CollecTRI:17873912;CollecTRI2:17901397		6
